il,ilce,ilce-il,yil,ay,satis
Adana,Ceyhan,Ceyhan (Adana),2015,1,120
Adana,Çukurova,Çukurova (Adana),2015,1,546
Adana,Karataş,Karataş (Adana),2015,1,26
Adana,Kozan,Kozan (Adana),2015,1,74
Adana,Sarıçam,Sarıçam (Adana),2015,1,20
Adana,Seyhan,Seyhan (Adana),2015,1,646
Adana,Yüreğir,Yüreğir (Adana),2015,1,83
Adıyaman,Besni,Besni (Adıyaman),2015,1,35
Adıyaman,Gölbaşı,Gölbaşı (Adıyaman),2015,1,32
Adıyaman,Merkez,Merkez (Adıyaman),2015,1,225
Afyonkarahisar,İhsaniye,İhsaniye (Afyonkarahisar),2015,1,162
Afyonkarahisar,Merkez,Merkez (Afyonkarahisar),2015,1,240
Afyonkarahisar,Sandıklı,Sandıklı (Afyonkarahisar),2015,1,28
Ağrı,Doğubayazıt,Doğubayazıt (Ağrı),2015,1,41
Ağrı,Merkez,Merkez (Ağrı),2015,1,45
Aksaray,Merkez,Merkez (Aksaray),2015,1,333
Aksaray,Ortaköy,Ortaköy (Aksaray),2015,1,22
Amasya,Merkez,Merkez (Amasya),2015,1,174
Amasya,Merzifon,Merzifon (Amasya),2015,1,62
Amasya,Taşova,Taşova (Amasya),2015,1,28
Ankara,Akyurt,Akyurt (Ankara),2015,1,70
Ankara,Altındağ,Altındağ (Ankara),2015,1,729
Ankara,Beypazarı,Beypazarı (Ankara),2015,1,28
Ankara,Çankaya,Çankaya (Ankara),2015,1,1255
Ankara,Çubuk,Çubuk (Ankara),2015,1,144
Ankara,Elmadağ,Elmadağ (Ankara),2015,1,40
Ankara,Etimesgut,Etimesgut (Ankara),2015,1,1151
Ankara,Gölbaşı,Gölbaşı (Ankara),2015,1,170
Ankara,Güdül,Güdül (Ankara),2015,1,85
Ankara,Haymana,Haymana (Ankara),2015,1,24
Ankara,Kazan,Kazan (Ankara),2015,1,89
Ankara,Keçiören,Keçiören (Ankara),2015,1,1805
Ankara,Kızılcahamam,Kızılcahamam (Ankara),2015,1,47
Ankara,Mamak,Mamak (Ankara),2015,1,1461
Ankara,Polatlı,Polatlı (Ankara),2015,1,186
Ankara,Pursaklar,Pursaklar (Ankara),2015,1,239
Ankara,Şereflikoçhisar,Şereflikoçhisar (Ankara),2015,1,48
Ankara,Sincan,Sincan (Ankara),2015,1,915
Ankara,Yenimahalle,Yenimahalle (Ankara),2015,1,1064
Antalya,Akseki,Akseki (Antalya),2015,1,26
Antalya,Aksu,Aksu (Antalya),2015,1,67
Antalya,Alanya,Alanya (Antalya),2015,1,877
Antalya,Döşemealtı,Döşemealtı (Antalya),2015,1,77
Antalya,Elmalı,Elmalı (Antalya),2015,1,27
Antalya,Finike,Finike (Antalya),2015,1,42
Antalya,Gazipaşa,Gazipaşa (Antalya),2015,1,31
Antalya,Kaş,Kaş (Antalya),2015,1,26
Antalya,Kemer,Kemer (Antalya),2015,1,43
Antalya,Kepez,Kepez (Antalya),2015,1,1361
Antalya,Konyaaltı,Konyaaltı (Antalya),2015,1,521
Antalya,Korkuteli,Korkuteli (Antalya),2015,1,96
Antalya,Kumluca,Kumluca (Antalya),2015,1,48
Antalya,Manavgat,Manavgat (Antalya),2015,1,270
Antalya,Muratpaşa,Muratpaşa (Antalya),2015,1,1057
Antalya,Serik,Serik (Antalya),2015,1,109
Artvin,Arhavi,Arhavi (Artvin),2015,1,21
Artvin,Hopa,Hopa (Artvin),2015,1,22
Artvin,Merkez,Merkez (Artvin),2015,1,51
Aydın,Çine,Çine (Aydın),2015,1,21
Aydın,Didim,Didim (Aydın),2015,1,504
Aydın,Efeler,Efeler (Aydın),2015,1,384
Aydın,İncirliova,İncirliova (Aydın),2015,1,54
Aydın,Kuşadası,Kuşadası (Aydın),2015,1,486
Aydın,Nazilli,Nazilli (Aydın),2015,1,208
Aydın,Söke,Söke (Aydın),2015,1,134
Balıkesir,Altıeylül,Altıeylül (Balıkesir),2015,1,178
Balıkesir,Ayvalık,Ayvalık (Balıkesir),2015,1,197
Balıkesir,Bandırma,Bandırma (Balıkesir),2015,1,209
Balıkesir,Bigadiç,Bigadiç (Balıkesir),2015,1,27
Balıkesir,Burhaniye,Burhaniye (Balıkesir),2015,1,110
Balıkesir,Edremit,Edremit (Balıkesir),2015,1,410
Balıkesir,Erdek,Erdek (Balıkesir),2015,1,66
Balıkesir,Gömeç,Gömeç (Balıkesir),2015,1,23
Balıkesir,Gönen,Gönen (Balıkesir),2015,1,66
Balıkesir,Karesi,Karesi (Balıkesir),2015,1,204
Balıkesir,Manyas,Manyas (Balıkesir),2015,1,25
Balıkesir,Marmara,Marmara (Balıkesir),2015,1,24
Balıkesir,Susurluk,Susurluk (Balıkesir),2015,1,23
Bartın,Merkez,Merkez (Bartın),2015,1,106
